Fecha;Provincia;Consumo energético (kWh/m²);Media de residentes;Potencia contratada (kW);Tipo de vivienda
2024-01-01;Álava;276.06;2.0;6.6;Casa unifamiliar
2024-01-01;Albacete;270.28;4.6;5.5;Casa unifamiliar
2024-01-01;Alicante;226.16;1.7;7.7;Adosado
2024-01-01;Almería;254.41;1.7;7.7;Casa unifamiliar
2024-01-01;Asturias;37.28;4.1;4.4;Adosado
2024-01-01;Ávila;250.93;3.4;4.4;Piso
2024-01-01;Badajoz;90.01;3.5;3.3;Dúplex
2024-01-01;Baleares;163.56;4.9;3.3;Piso
2024-01-01;Barcelona;37.81;4.6;6.6;Adosado
2024-01-01;Burgos;110.62;3.2;5.5;Piso
2024-01-01;Cáceres;97.6;2.1;4.4;Casa unifamiliar
2024-01-01;Cádiz;52.08;1.9;6.6;Adosado
2024-01-01;Cantabria;219.55;1.9;5.5;Casa unifamiliar
2024-01-01;Castellón;151.48;1.8;7.7;Casa unifamiliar
2024-01-01;Ciudad Real;24.45;2.5;7.7;Adosado
2024-01-01;Córdoba;30.32;4.2;5.5;Dúplex
2024-01-01;La Coruña;261.94;1.7;3.3;Piso
2024-01-01;Cuenca;279.21;2.7;7.7;Piso
2024-01-01;Gerona;32.94;1.8;7.7;Dúplex
2024-01-01;Granada;153.39;3.8;4.4;Adosado
2024-01-01;Guadalajara;23.59;3.3;5.5;Casa unifamiliar
2024-01-01;Guipúzcoa;226.07;1.1;4.4;Casa unifamiliar
2024-01-01;Huelva;21.06;4.3;3.3;Casa unifamiliar
2024-01-01;Huesca;107.55;4.4;6.6;Casa unifamiliar
2024-01-01;Jaén;128.4;5.0;6.6;Dúplex
2024-01-01;León;98.19;3.6;3.3;Adosado
2024-01-01;Lérida;154.49;4.0;4.4;Casa unifamiliar
2024-01-01;Lugo;219.16;4.8;5.5;Adosado
2024-01-01;Madrid;46.44;3.6;6.6;Piso
2024-01-01;Málaga;56.54;1.9;6.6;Adosado
2024-01-01;Murcia;238.01;4.4;3.3;Piso
2024-01-01;Navarra;84.09;1.9;7.7;Piso
2024-01-01;Orense;190.54;2.8;7.7;Dúplex
2024-01-01;Palencia;271.19;4.0;3.3;Dúplex
2024-01-01;Las Palmas;101.33;1.6;3.3;Casa unifamiliar
2024-01-01;Pontevedra;46.28;4.0;5.5;Piso
2024-01-01;La Rioja;192.9;1.1;4.4;Dúplex
2024-01-01;Salamanca;142.43;1.3;5.5;Adosado
2024-01-01;Segovia;28.3;4.4;3.3;Casa unifamiliar
2024-01-01;Sevilla;135.29;2.0;3.3;Piso
2024-01-01;Soria;154.04;4.8;6.6;Adosado
2024-01-01;Tarragona;152.82;2.1;4.4;Adosado
2024-01-01;Santa Cruz de Tenerife;201.46;1.1;4.4;Dúplex
2024-01-01;Teruel;147.19;1.1;4.4;Piso
2024-01-01;Toledo;128.83;2.0;5.5;Piso
2024-01-01;Valencia;275.11;4.1;6.6;Piso
2024-01-01;Valladolid;295.82;2.7;5.5;Adosado
2024-01-01;Vizcaya;51.76;2.8;3.3;Adosado
2024-01-01;Zamora;184.7;2.4;6.6;Dúplex
2024-01-01;Zaragoza;296.37;1.5;3.3;Adosado
2024-01-02;Álava;151.73;4.4;5.5;Adosado
2024-01-02;Albacete;179.81;4.0;5.5;Adosado
2024-01-02;Alicante;212.79;1.4;5.5;Adosado
2024-01-02;Almería;267.27;2.6;6.6;Piso
2024-01-02;Asturias;72.08;2.3;6.6;Piso
2024-01-02;Ávila;115.58;4.0;3.3;Piso
2024-01-02;Badajoz;293.27;4.9;3.3;Dúplex
2024-01-02;Baleares;57.01;4.3;5.5;Casa unifamiliar
2024-01-02;Barcelona;91.49;2.3;6.6;Piso
2024-01-02;Burgos;114.83;1.1;5.5;Dúplex
2024-01-02;Cáceres;164.47;1.9;7.7;Casa unifamiliar
2024-01-02;Cádiz;61.51;2.9;3.3;Piso
2024-01-02;Cantabria;188.75;3.4;4.4;Dúplex
2024-01-02;Castellón;276.82;3.5;6.6;Piso
2024-01-02;Ciudad Real;31.32;2.2;7.7;Dúplex
2024-01-02;Córdoba;274.51;1.3;4.4;Piso
2024-01-02;La Coruña;68.31;3.8;5.5;Casa unifamiliar
2024-01-02;Cuenca;31.81;2.6;4.4;Dúplex
2024-01-02;Gerona;98.48;3.6;3.3;Dúplex
2024-01-02;Granada;270.95;4.2;5.5;Casa unifamiliar
2024-01-02;Guadalajara;125.57;3.9;6.6;Dúplex
2024-01-02;Guipúzcoa;126.03;2.1;4.4;Dúplex
2024-01-02;Huelva;234.29;4.7;6.6;Dúplex
2024-01-02;Huesca;143.5;1.8;4.4;Dúplex
2024-01-02;Jaén;237.28;2.5;4.4;Adosado
2024-01-02;León;193.66;3.4;4.4;Adosado
2024-01-02;Lérida;179.61;3.9;7.7;Dúplex
2024-01-02;Lugo;235.29;3.8;3.3;Adosado
2024-01-02;Madrid;80.89;2.8;3.3;Adosado
2024-01-02;Málaga;146.63;4.0;4.4;Adosado
2024-01-02;Murcia;159.04;4.8;5.5;Adosado
2024-01-02;Navarra;223.96;2.0;7.7;Adosado
2024-01-02;Orense;234.7;1.4;5.5;Piso
2024-01-02;Palencia;33.71;4.4;6.6;Dúplex
2024-01-02;Las Palmas;203.07;2.5;5.5;Adosado
2024-01-02;Pontevedra;177.26;3.3;5.5;Dúplex
2024-01-02;La Rioja;35.32;4.0;3.3;Dúplex
2024-01-02;Salamanca;212.1;1.7;7.7;Adosado
2024-01-02;Segovia;100.61;1.8;3.3;Piso
2024-01-02;Sevilla;71.54;4.4;3.3;Adosado
2024-01-02;Soria;98.73;4.3;4.4;Adosado
2024-01-02;Tarragona;186.68;1.9;4.4;Casa unifamiliar
2024-01-02;Santa Cruz de Tenerife;297.05;4.9;4.4;Dúplex
2024-01-02;Teruel;268.42;3.1;5.5;Casa unifamiliar
2024-01-02;Toledo;155.25;1.0;3.3;Casa unifamiliar
2024-01-02;Valencia;88.37;4.4;5.5;Adosado
2024-01-02;Valladolid;297.56;2.8;3.3;Adosado
2024-01-02;Vizcaya;69.13;2.4;5.5;Dúplex
2024-01-02;Zamora;121.56;1.3;7.7;Casa unifamiliar
2024-01-02;Zaragoza;262.87;4.0;4.4;Adosado
2024-01-03;Álava;271.47;4.8;5.5;Adosado
2024-01-03;Albacete;255.15;2.9;4.4;Piso
2024-01-03;Alicante;294.69;4.0;3.3;Casa unifamiliar
2024-01-03;Almería;58.3;1.3;7.7;Casa unifamiliar
2024-01-03;Asturias;59.64;3.4;5.5;Adosado
2024-01-03;Ávila;91.29;1.3;7.7;Adosado
2024-01-03;Badajoz;114.7;2.4;3.3;Casa unifamiliar
2024-01-03;Baleares;139.53;1.6;3.3;Casa unifamiliar
2024-01-03;Barcelona;106.88;1.1;6.6;Piso
2024-01-03;Burgos;31.35;2.3;7.7;Piso
2024-01-03;Cáceres;208.65;3.9;7.7;Casa unifamiliar
2024-01-03;Cádiz;156.38;2.2;3.3;Adosado
2024-01-03;Cantabria;152.19;4.8;7.7;Adosado
2024-01-03;Castellón;285.37;1.6;3.3;Adosado
2024-01-03;Ciudad Real;130.24;3.9;7.7;Dúplex
2024-01-03;Córdoba;293.65;2.0;7.7;Piso
2024-01-03;La Coruña;220.63;2.5;6.6;Dúplex
2024-01-03;Cuenca;76.16;3.7;6.6;Piso
2024-01-03;Gerona;177.69;2.7;5.5;Dúplex
2024-01-03;Granada;46.8;2.0;6.6;Piso
2024-01-03;Guadalajara;31.43;3.7;4.4;Dúplex
2024-01-03;Guipúzcoa;242.1;2.6;3.3;Dúplex
2024-01-03;Huelva;212.37;1.2;5.5;Adosado
2024-01-03;Huesca;171.87;3.2;4.4;Dúplex
2024-01-03;Jaén;82.27;1.9;5.5;Piso
2024-01-03;León;221.64;4.6;7.7;Dúplex
2024-01-03;Lérida;157.58;4.0;6.6;Casa unifamiliar
2024-01-03;Lugo;102.56;1.4;6.6;Adosado
2024-01-03;Madrid;263.07;2.1;4.4;Adosado
2024-01-03;Málaga;183.23;3.7;5.5;Adosado
