Fecha;Provincia;Consumo energético (kWh/m²);Media de residentes;Potencia contratada (kW);Tipo de vivienda;ALTITUD;TMEDIA;TMIN;TMAX;DIR;VELMEDIA;RACHA;SOL;PRESMAX;PRESMIN;Festivo;Entre semana
2024-01-01;A CORUÑA;261.94;1.7;3.3;Piso;182.61111111111111;9.847058823529412;7.370588235294117;12.31764705882353;21.4;6.2;16.369999999999997;1.2;1002.1428571428572;995.8571428571428;SI;SI
2024-01-02;A CORUÑA;68.31;3.8;5.5;Casa unifamiliar;182.61111111111111;13.275;11.48125;15.075;29.9;7.659999999999999;21.47;0.0;997.1142857142858;991.4285714285714;NO;SI
2024-01-03;A CORUÑA;220.63;2.5;6.6;Dúplex;182.61111111111111;11.947058823529412;10.023529411764706;13.888235294117647;32.3;4.529999999999999;12.11;2.0;1001.5142857142856;996.4;NO;SI
2024-01-04;A CORUÑA;88.4;1.3;7.7;Adosado;182.61111111111111;9.711764705882352;6.758823529411765;12.68235294117647;26.1;4.08;15.5;1.64;999.657142857143;993.1857142857144;NO;SI
2024-01-05;A CORUÑA;241.12;4.5;7.7;Casa unifamiliar;182.61111111111111;8.176470588235293;5.611764705882353;10.723529411764709;35.4;3.73;14.26;1.78;1003.8142857142856;994.3142857142856;NO;SI
2024-01-06;A CORUÑA;100.17;4.1;3.3;Dúplex;182.61111111111111;7.570588235294117;3.8705882352941177;11.288235294117648;40.5;1.48;7.0;4.62;1008.3714285714286;1003.7;SI;NO
2024-01-07;A CORUÑA;175.82;3.7;4.4;Dúplex;182.61111111111111;7.1000000000000005;2.6294117647058823;11.56470588235294;17.4;2.41;7.81;7.159999999999999;1009.1857142857144;1006.657142857143;NO;NO
2024-01-08;A CORUÑA;96.61;2.6;7.7;Piso;182.61111111111111;4.158823529411765;1.5176470588235291;6.794117647058823;22.2;2.1;7.26;0.34;1006.7428571428572;1001.6;NO;SI
2024-01-09;A CORUÑA;158.11;2.0;6.6;Piso;182.61111111111111;6.064705882352941;2.652941176470588;9.488235294117649;23.3;2.26;7.08;0.6;1002.4285714285714;999.5714285714286;NO;SI
2024-01-10;A CORUÑA;238.64;2.5;3.3;Casa unifamiliar;182.61111111111111;8.129411764705882;5.588235294117647;10.652941176470588;32.4;2.44;9.06;0.92;1006.3285714285714;999.7285714285716;NO;SI
2024-01-11;A CORUÑA;265.31;2.1;4.4;Dúplex;182.61111111111111;6.076470588235294;2.6588235294117646;9.5;18.3;3.28;9.96;4.48;1009.9428571428572;1006.2571428571428;NO;SI
2024-01-12;A CORUÑA;53.09;4.1;6.6;Adosado;182.61111111111111;5.970588235294118;1.1588235294117646;10.805882352941175;12.6;2.8;9.07;6.540000000000001;1009.3142857142856;1002.7142857142856;NO;SI
2024-01-13;A CORUÑA;145.9;2.5;5.5;Dúplex;182.61111111111111;9.63529411764706;6.547058823529412;12.75294117647059;24.2;4.25;13.56;1.2;1002.7857142857144;998.5;NO;NO
2024-01-14;A CORUÑA;57.01;3.8;3.3;Piso;182.61111111111111;13.552941176470588;11.1;16.0;19.8;2.42;9.81;1.2200000000000002;999.6;994.5;NO;NO
2024-01-15;A CORUÑA;75.07;3.9;4.4;Piso;182.61111111111111;13.51764705882353;11.558823529411764;15.46470588235294;32.9;3.34;10.1;0.86;995.2428571428572;992.7857142857144;NO;SI
2024-01-16;A CORUÑA;89.07;3.8;5.5;Dúplex;182.61111111111111;13.723529411764709;11.17058823529412;16.27058823529412;30.4;5.2700000000000005;21.47;0.86;994.4714285714286;975.8142857142856;NO;SI
2024-01-17;A CORUÑA;178.91;1.1;3.3;Casa unifamiliar;182.61111111111111;13.529411764705882;11.835294117647058;15.235294117647058;38.9;8.11;21.25;1.48;979.7714285714284;973.2142857142856;NO;SI
2024-01-18;A CORUÑA;66.26;2.2;6.6;Casa unifamiliar;182.61111111111111;9.93529411764706;6.923529411764706;12.91764705882353;31.4;4.45;20.42;0.44;997.0;979.3714285714286;NO;SI
2024-01-19;A CORUÑA;299.39;2.5;4.4;Adosado;182.61111111111111;7.147058823529412;3.1058823529411765;11.13529411764706;16.1;5.8100000000000005;14.56;6.959999999999999;1004.8142857142856;994.7;NO;SI
2024-01-20;A CORUÑA;42.25;3.0;5.5;Dúplex;182.61111111111111;5.535294117647059;-0.511764705882353;11.588235294117649;26.2;3.28;11.19;7.7;1009.9571428571428;1004.4428571428572;NO;NO
2024-01-21;A CORUÑA;182.43;4.6;4.4;Piso;182.61111111111111;10.941176470588236;8.494117647058824;13.4;28.1;6.16;17.11;3.06;1012.7428571428572;1009.2857142857144;NO;NO
2024-01-22;A CORUÑA;42.0;4.7;6.6;Dúplex;182.61111111111111;13.7875;12.68125;14.9;29.6;5.44;16.73;0.04;1018.2857142857144;1010.0714285714286;NO;SI
2024-01-23;A CORUÑA;239.61;1.8;5.5;Dúplex;182.61111111111111;14.10625;12.9625;15.2625;38.1;4.029999999999999;9.79;0.42;1020.0285714285714;1017.157142857143;NO;SI
2024-01-24;A CORUÑA;64.9;4.3;6.6;Adosado;182.61111111111111;13.7875;9.4;18.175;22.22222222222222;1.52;7.555555555555555;8.66;1020.0;1015.7714285714284;NO;SI
2024-01-25;A CORUÑA;58.17;1.8;5.5;Casa unifamiliar;182.61111111111111;13.294117647058824;8.876470588235295;17.676470588235293;29.4;2.28;7.44;7.220000000000001;1016.9142857142856;1013.8714285714286;NO;SI
2024-01-26;A CORUÑA;96.85;4.2;7.7;Dúplex;182.61111111111111;11.882352941176473;7.194117647058824;16.552941176470586;27.7;2.51;7.5;4.54;1017.0714285714286;1011.7857142857144;NO;SI
